Hotel Name,Location,Rating,Room Score,Room Type,Bed Type,Price,City,Country,twins,fulls,queen,king,sofa beds,bunk beds,futon beds,Number of bed
X10 Khaolak Resort SHA Plus,Khao Lak,8.9,9.2,Deluxe Double or Twin Room - Family Wing,   1 double or 2 twins,136.007,Phang Nga,Thailand,2,0,0,0,0,0,0,2
Namaka Resort Kamala - SHA Extra Plus,Kamala Beach,7.8,8.3,Premier Room with Sea View,1 queen bed,217.41,Kamala Beach,Thailand,0,0,1,0,0,0,0,1
Namaka Resort Kamala - SHA Extra Plus,Kamala Beach,7.8,8.3,Premier Room with Sea View,1 queen bed,217.41,Kamala Beach,Thailand,0,0,1,0,0,0,0,1
SKYVIEW Hotel Bangkok - SHA Extra Plus,"Khlong Toei, Bangkok",8.6,9.2,Premier,Multiple bed types,360.687,Bangkok,Thailand,0,0,0,0,0,0,0,0
Diamond Resort Phuket - SHA,Bang Tao Beach,8.8,9.0,Deluxe Suite Double,"2 beds (1 full, 1 sofa bed)",222.84,Bang Tao Beach,Thailand,0,1,0,0,0,0,0,2
Diamond Resort Phuket - SHA,Bang Tao Beach,8.8,9.0,Deluxe Suite Double,"2 beds (1 full, 1 sofa bed)",222.84,Bang Tao Beach,Thailand,0,1,0,0,0,0,0,2
Blue Sky Residence Airport,Ban Bang Phli Yai,7.9,8.3,Superior Twin Room,2 twin beds,57.039,Ban Bang Phli Yai,Thailand,2,0,0,0,0,0,0,2
Blue Sky Residence Airport,Ban Bang Phli Yai,7.9,8.3,Superior Twin Room,2 twin beds,57.039,Ban Bang Phli Yai,Thailand,2,0,0,0,0,0,0,2
Sukantara Cascade Resort and Spa,Mae Rim,8.8,8.8,Deluxe Jacuzzi Panorama,1 queen bed,305.915,Mae Rim,Thailand,0,0,1,0,0,0,0,1
Sukantara Cascade Resort and Spa,Mae Rim,8.8,8.8,Deluxe Jacuzzi Panorama,1 queen bed,305.915,Mae Rim,Thailand,0,0,1,0,0,0,0,1
Huernnana Boutique Hotel,Phrae,7.0,0.0,Nana Deluxe Twin Room,2 twin beds,139.90800000000002,Phrae,Thailand,2,0,0,0,0,0,0,2
Huernnana Boutique Hotel,Phrae,7.0,0.0,Nana Deluxe Twin Room,2 twin beds,139.90800000000002,Phrae,Thailand,2,0,0,0,0,0,0,2
Amari Phuket,Patong Beach,8.2,8.4,One-Bedroom Suite,1 queen bed,610.76,Phuket,Thailand,0,0,1,0,0,0,0,1
Paripas Patong Resort - SHA Extra Plus,Patong Beach,8.0,8.4,Deluxe Twin or Double Room with Balcony (No View),   1 double or 2 twins,116.399,Phuket,Thailand,2,0,0,0,0,0,0,2
The Canal 304,"304 Industrial Park, Si Maha Phot",8.9,8.9,Luxury Suite,1 king bed,155.268,Prachin Buri,Thailand,0,0,0,1,0,0,0,1
Mövenpick Resort Khao Yai,Ban Wang Sai,7.6,8.0,Deluxe King Room,1 full bed,260.327,Ban Wang Sai,Thailand,0,1,0,0,0,0,0,1
Mövenpick Resort Khao Yai,Ban Wang Sai,7.6,8.0,Deluxe King Room,1 full bed,260.327,Ban Wang Sai,Thailand,0,1,0,0,0,0,0,1
Phuphavaree by Tahug Sai Yok,Ban Ai Hit,7.3,0.0,Tent,1 queen bed,55.379,Ban Ai Hit,Thailand,0,0,1,0,0,0,0,1
Phuphavaree by Tahug Sai Yok,Ban Ai Hit,7.3,0.0,Tent,1 queen bed,55.379,Ban Ai Hit,Thailand,0,0,1,0,0,0,0,1
La Miniera Pool Villas Pattaya - SHA Plus,Nong Prue,8.8,9.4,Pool Villa,Multiple bed types,495.891,Nong Prue,Thailand,0,0,0,0,0,0,0,0
La Miniera Pool Villas Pattaya - SHA Plus,Nong Prue,8.8,9.4,Pool Villa,Multiple bed types,495.891,Nong Prue,Thailand,0,0,0,0,0,0,0,0
Phu Pha Phung Resort,Suan Phung,7.6,0.0,Villa Family,"9 beds (7 twins, 2 fulls)",438.216,Suan Phung,Thailand,7,2,0,0,0,0,0,9
Phu Pha Phung Resort,Suan Phung,7.6,0.0,Villa Family,"9 beds (7 twins, 2 fulls)",438.216,Suan Phung,Thailand,7,2,0,0,0,0,0,9
Limon Villa Khao Yai by Tolani,Wangkata,7.9,8.1,Deluxe Villa,1 king bed,132.92000000000002,Wangkata,Thailand,0,0,0,1,0,0,0,1
Limon Villa Khao Yai by Tolani,Wangkata,7.9,8.1,Deluxe Villa,1 king bed,132.92000000000002,Wangkata,Thailand,0,0,0,1,0,0,0,1
Novotel Bangkok IMPACT,Nonthaburi,8.4,8.9,Executive King Room,1 king bed,223.185,Nonthaburi,Thailand,0,0,0,1,0,0,0,1
Novotel Bangkok IMPACT,Nonthaburi,8.4,8.9,Executive King Room,1 king bed,223.185,Nonthaburi,Thailand,0,0,0,1,0,0,0,1
Samui Resotel Beach Resort - SHA extra plus,"Chaweng Beachfront, Chaweng",8.1,8.5,Standard Double Room,1 king bed,256.658,Chaweng,Thailand,0,0,0,1,0,0,0,1
Anchalee Resort,Bang Saphan,7.8,0.0,Double Room,1 full bed,43.022,Bang Saphan,Thailand,0,1,0,0,0,0,0,1
Anchalee Resort,Bang Saphan,7.8,0.0,Double Room,1 full bed,43.022,Bang Saphan,Thailand,0,1,0,0,0,0,0,1
Regent Lodge Lampang,Lampang,7.8,8.1,Superior Double Room,1 full bed,29.113,Lampang,Thailand,0,1,0,0,0,0,0,1
Regent Lodge Lampang,Lampang,7.8,8.1,Superior Double Room,1 full bed,29.113,Lampang,Thailand,0,1,0,0,0,0,0,1
Atta Lakeside Resort Suite - SHA Plus Certified,Mu Si,8.7,8.9,One-Bedroom Suite,"2 beds (1 king, 1 sofa bed)",303.475,Mu Si,Thailand,0,0,0,1,0,0,0,2
Atta Lakeside Resort Suite - SHA Plus Certified,Mu Si,8.7,8.9,One-Bedroom Suite,"2 beds (1 king, 1 sofa bed)",303.475,Mu Si,Thailand,0,0,0,1,0,0,0,2
"Kimpton Maa-Lai Bangkok, an IHG Hotel","Pathumwan, Bangkok",9.4,9.7,Essential Room,Multiple bed types,628.313,Bangkok,Thailand,0,0,0,0,0,0,0,0
Eastin Thana City Golf Resort Bangkok,Samutprakarn,8.4,8.9,Superior Room,2 twin beds,103.19200000000001,Samutprakarn,Thailand,2,0,0,0,0,0,0,2
Eastin Thana City Golf Resort Bangkok,Samutprakarn,8.4,8.9,Superior Room,2 twin beds,103.19200000000001,Samutprakarn,Thailand,2,0,0,0,0,0,0,2
Sukhothai Heritage Resort - SHA PLUS,Sawankhalok,8.2,8.5,Superior King Room with Pool View,1 king bed,142.774,Sawankhalok,Thailand,0,0,0,1,0,0,0,1
Sukhothai Heritage Resort - SHA PLUS,Sawankhalok,8.2,8.5,Superior King Room with Pool View,1 king bed,142.774,Sawankhalok,Thailand,0,0,0,1,0,0,0,1
El Matcha Lanta Resort,Phra Ae beach,8.9,9.3,Bungalow with Garden View,1 queen bed,93.9,Phra Ae beach,Thailand,0,0,1,0,0,0,0,1
El Matcha Lanta Resort,Phra Ae beach,8.9,9.3,Bungalow with Garden View,1 queen bed,93.9,Phra Ae beach,Thailand,0,0,1,0,0,0,0,1
Koh Yao Yai Village - SHA Extra Plus,Ko Yao Yai,8.9,9.0,Deluxe Villa,1 king bed,210.463,Ko Yao Yai,Thailand,0,0,0,1,0,0,0,1
Pen Ta Hug Hotel,Ubon Ratchathani,8.0,8.2,Superior Double Room,1 queen bed,57.579,Ubon Ratchathani,Thailand,0,0,1,0,0,0,0,1
Panviman Resort Koh Phangan - SHA Extra Plus,Thong Nai Pan Noi,8.6,8.8,Executive Suite,"2 beds (1 sofa bed, 1 queen)",2018.4840000000002,Thong Nai Pan Noi,Thailand,0,0,1,0,0,0,0,2
Panviman Resort Koh Phangan - SHA Extra Plus,Thong Nai Pan Noi,8.6,8.8,Executive Suite,"2 beds (1 sofa bed, 1 queen)",2018.4840000000002,Thong Nai Pan Noi,Thailand,0,0,1,0,0,0,0,2
The X10 Nordic Tent and Glamping Pool Villa Khaoyai  - SHA Certified,Ban Thung Sawang,8.0,8.3,Villa with Private Pool,1 king bed,271.084,Ban Thung Sawang,Thailand,0,0,0,1,0,0,0,1
The X10 Nordic Tent and Glamping Pool Villa Khaoyai  - SHA Certified,Ban Thung Sawang,8.0,8.3,Villa with Private Pool,1 king bed,271.084,Ban Thung Sawang,Thailand,0,0,0,1,0,0,0,1
THE WOOD,Surin,8.4,8.8,Standard Double Room,1 king bed,80.869,Surin,Thailand,0,0,0,1,0,0,0,1
THE WOOD,Surin,8.4,8.8,Standard Double Room,1 king bed,80.869,Surin,Thailand,0,0,0,1,0,0,0,1
Karon Phunaka Resort,Karon Beach,8.2,8.5,Superior Double or Twin Room with Sea View,   1 double or 2 twins,138.124,Phuket,Thailand,2,0,0,0,0,0,0,2
The Sun resort Ratchaburi,Ratchaburi,8.4,8.5,Deluxe King Room,1 king bed,36.391,Ratchaburi,Thailand,0,0,0,1,0,0,0,1
The Sun resort Ratchaburi,Ratchaburi,8.4,8.5,Deluxe King Room,1 king bed,36.391,Ratchaburi,Thailand,0,0,0,1,0,0,0,1
Bella Villa Cabana,Na Kluea,7.5,8.0,Junior Suite with Pool View,"2 beds (1 twin, 1 full)",200.46200000000002,Na Kluea,Thailand,1,1,0,0,0,0,0,2
Bella Villa Cabana,Na Kluea,7.5,8.0,Junior Suite with Pool View,"2 beds (1 twin, 1 full)",200.46200000000002,Na Kluea,Thailand,1,1,0,0,0,0,0,2
Dolphin Bay Resort SHA-EXTRA PLUS HOTEL,Sam Roi Yot,8.2,8.2,Deluxe Double or Twin Room with Balcony,Multiple bed types,153.571,Sam Roi Yot,Thailand,0,0,0,0,0,0,0,0
Dolphin Bay Resort SHA-EXTRA PLUS HOTEL,Sam Roi Yot,8.2,8.2,Deluxe Double or Twin Room with Balcony,Multiple bed types,153.571,Sam Roi Yot,Thailand,0,0,0,0,0,0,0,0
KT Knight Hotel,Surin,8.8,9.0,Deluxe Twin Room,"2 beds (1 twin, 1 full)",48.521,Surin,Thailand,1,1,0,0,0,0,0,2
KT Knight Hotel,Surin,8.8,9.0,Deluxe Twin Room,"2 beds (1 twin, 1 full)",48.521,Surin,Thailand,1,1,0,0,0,0,0,2
Raya Buri Resort Kanchanaburi,Si Sawat,7.1,0.0,Hillside Superior Room,"2 beds (1 twin, 1 full)",141.1,Si Sawat,Thailand,1,1,0,0,0,0,0,2
Raya Buri Resort Kanchanaburi,Si Sawat,7.1,0.0,Hillside Superior Room,"2 beds (1 twin, 1 full)",141.1,Si Sawat,Thailand,1,1,0,0,0,0,0,2
